Date,Benchmark
2008-01-01,7020.78
2008-01-02,7090.22
2008-01-03,7095.97
2008-01-04,7174.73
2008-01-07,7171.53
2008-01-08,7119.57
2008-01-09,7108.62
2008-01-10,6936.51
2008-01-11,6973.48
2008-01-14,7021.9
2008-01-15,6887.42
2008-01-16,6734.66
2008-01-17,6716.67
2008-01-18,6422.91
2008-01-21,5770.56
2008-01-22,5390.8
2008-01-23,5759.97
2008-01-24,5564.5
2008-01-25,5955.85
2008-01-28,5865.04
2008-01-29,5856.89
2008-01-30,5719.17
2008-01-31,5671.45
2008-02-01,5804.28
2008-02-04,5987.51
2008-02-05,6025.58
2008-02-06,5877.01
2008-02-07,5682.34
2008-02-08,5629.82
2008-02-11,5333.73
2008-02-12,5291.45
2008-02-13,5367.06
2008-02-14,5670.13
2008-02-15,5786.39
2008-02-18,5771.63
2008-02-19,5781.29
2008-02-20,5647.69
2008-02-21,5688.39
2008-02-22,5607.45
2008-02-25,5674.68
2008-02-26,5751.96
2008-02-27,5754.63
2008-02-28,5749.93
2008-02-29,5692.94
2008-03-03,5403.44
2008-03-04,5281.21
2008-03-05,5307.79
2008-03-07,5120.93
2008-03-10,5127.99
2008-03-11,5253.98
2008-03-12,5235.37
2008-03-13,4941.58
2008-03-14,5050.93
2008-03-17,4756.27
2008-03-18,4756.88
2008-03-19,4776.51
2008-03-24,4774.74
2008-03-25,5066.35
2008-03-26,5050.03
2008-03-27,5043.5
2008-03-28,5185.81
2008-03-31,4996.1
2008-04-01,4985.13
2008-04-02,5009.08
2008-04-03,5015.51
2008-04-04,4894.95
2008-04-07,5002.77
2008-04-08,4972.21
2008-04-09,5020.92
2008-04-10,5003.42
2008-04-11,5043.92
2008-04-15,5143.58
2008-04-16,5172.0
2008-04-17,5261.06
2008-04-21,5355.07
2008-04-22,5382.8
2008-04-23,5362.43
2008-04-24,5334.15
2008-04-25,5437.27
2008-04-28,5429.89
2008-04-29,5530.03
2008-04-30,5515.51
2008-05-02,5591.76
2008-05-05,5575.61
2008-05-06,5509.83
2008-05-07,5485.14
2008-05-08,5427.07
2008-05-09,5311.79
2008-05-12,5314.67
2008-05-13,5282.29
2008-05-14,5334.41
2008-05-15,5436.38
2008-05-16,5487.09
2008-05-20,5435.86
2008-05-21,5456.97
2008-05-22,5359.67
2008-05-23,5277.96
2008-05-26,5180.18
2008-05-27,5156.26
2008-05-28,5218.12
2008-05-29,5154.3
2008-05-30,5180.88
2008-06-02,5042.24
2008-06-03,5013.63
2008-06-04,4866.76
2008-06-05,4938.99
2008-06-06,4881.28
2008-06-09,4726.14
2008-06-10,4672.74
2008-06-11,4753.55
2008-06-12,4771.13
2008-06-13,4757.18
2008-06-16,4816.73
2008-06-17,4913.73
2008-06-18,4846.21
2008-06-19,4757.76
2008-06-20,4597.42
2008-06-23,4473.88
2008-06-24,4398.52
2008-06-25,4453.51
2008-06-26,4492.92
2008-06-27,4314.87
2008-06-30,4196.57
2008-07-01,4029.47
2008-07-02,4224.95
2008-07-03,4060.41
2008-07-04,4164.78
2008-07-07,4203.68
2008-07-08,4175.15
2008-07-09,4352.74
2008-07-10,4357.9
2008-07-11,4238.37
2008-07-14,4226.68
2008-07-15,4046.78
2008-07-16,4002.42
2008-07-17,4129.87
2008-07-18,4265.39
2008-07-21,4320.24
2008-07-22,4407.42
2008-07-23,4663.43
2008-07-24,4629.19
2008-07-25,4534.65
2008-07-28,4556.92
2008-07-29,4400.75
2008-07-30,4531.33
2008-07-31,4542.09
2008-08-01,4631.28
2008-08-04,4641.26
2008-08-05,4752.66
2008-08-06,4756.28
2008-08-07,4765.67
2008-08-08,4778.13
2008-08-11,4874.01
2008-08-12,4806.6
2008-08-13,4782.51
2008-08-14,4669.75
2008-08-18,4628.24
2008-08-19,4603.84
2008-08-20,4652.12
2008-08-21,4517.48
2008-08-22,4551.66
2008-08-25,4562.04
2008-08-26,4564.01
2008-08-27,4520.46
2008-08-28,4444.68
2008-08-29,4592.47
2008-09-01,4583.48
2008-09-02,4739.19
2008-09-04,4690.73
2008-09-05,4594.26
2008-09-08,4710.72
2008-09-09,4692.9
2008-09-10,4623.17
2008-09-11,4525.34
2008-09-12,4452.9
2008-09-15,4275.96
2008-09-16,4256.85
2008-09-17,4177.68
2008-09-18,4178.96
2008-09-19,4370.33
2008-09-22,4353.02
2008-09-23,4264.47
2008-09-24,4293.42
2008-09-25,4248.38
2008-09-26,4119.23
2008-09-29,3966.46
2008-09-30,4033.31
2008-10-01,4065.23
2008-10-03,3935.35
2008-10-06,3704.65
2008-10-07,3680.32
2008-10-08,3552.49
2008-10-10,3306.78
2008-10-13,3500.37
2008-10-14,3540.86
2008-10-15,3367.11
2008-10-16,3316.86
2008-10-17,3147.7
2008-10-20,3178.63
2008-10-21,3286.2
2008-10-22,3137.27
2008-10-23,3014.86
2008-10-24,2684.89
2008-10-27,2603.77
2008-10-28,2764.52
2008-10-29,2769.12
2008-10-31,2937.1
2008-11-03,3089.26
2008-11-04,3195.16
2008-11-05,3074.55
2008-11-06,2978.5
2008-11-07,3051.36
2008-11-10,3217.47
2008-11-11,3038.42
2008-11-12,2955.2
2008-11-14,2908.03
2008-11-17,2872.09
2008-11-18,2763.8
2008-11-19,2712.27
2008-11-20,2624.18
2008-11-21,2728.11
2008-11-24,2738.47
2008-11-25,2692.74
2008-11-26,2759.19
2008-11-28,2762.29
2008-12-01,2703.3
2008-12-02,2678.22
2008-12-03,2693.0
2008-12-04,2814.48
2008-12-05,2749.09
2008-12-08,2799.96
2008-12-10,2922.63
2008-12-11,2932.86
2008-12-12,2943.29
2008-12-15,3012.1
2008-12-16,3084.03
2008-12-17,2993.69
2008-12-18,3097.9
2008-12-19,3128.27
2008-12-22,3092.64
2008-12-23,3021.47
2008-12-24,2980.5
2008-12-26,2924.21
2008-12-29,2985.5
2008-12-30,3045.7
2008-12-31,3034.27
2009-01-01,3120.78
2009-01-02,3146.16
2009-01-05,3216.34
2009-01-06,3213.37
2009-01-07,3002.09
2009-01-09,2941.36
2009-01-12,2855.19
2009-01-13,2823.93
2009-01-14,2908.7
2009-01-15,2819.7
2009-01-16,2893.93
2009-01-19,2913.55
2009-01-20,2872.65
2009-01-21,2790.04
2009-01-22,2782.88
2009-01-23,2739.89
2009-01-27,2814.71
2009-01-28,2893.09
2009-01-29,2874.15
2009-01-30,2924.48
2009-02-02,2831.64
2009-02-03,2836.76
2009-02-04,2851.15
2009-02-05,2829.09
2009-02-06,2887.59
2009-02-09,2962.56
2009-02-10,2978.02
2009-02-11,2971.88
2009-02-12,2947.72
2009-02-13,2998.71
2009-02-16,2904.68
2009-02-17,2831.07
2009-02-18,2833.77
2009-02-19,2843.05
2009-02-20,2790.38
2009-02-24,2777.21
2009-02-25,2800.0
2009-02-26,2812.51
2009-02-27,2799.86
2009-03-02,2720.41
2009-03-03,2671.91
2009-03-04,2686.65
2009-03-05,2625.42
2009-03-06,2653.54
2009-03-09,2606.43
2009-03-12,2643.02
2009-03-13,2736.25
2009-03-16,2802.81
2009-03-17,2788.56
2009-03-18,2829.82
2009-03-19,2843.54
2009-03-20,2836.31
2009-03-23,2956.74
2009-03-24,2948.6
2009-03-25,2990.16
2009-03-26,3067.84
2009-03-27,3106.95
2009-03-30,2995.36
2009-03-31,3042.29
2009-04-01,3081.93
2009-04-02,3220.24
2009-04-06,3279.09
2009-04-08,3364.36
2009-04-09,3375.59
2009-04-13,3445.88
2009-04-15,3568.33
2009-04-16,3439.19
2009-04-17,3464.0
2009-04-20,3476.15
2009-04-21,3464.15
2009-04-22,3427.36
2009-04-23,3508.37
2009-04-24,3566.72
2009-04-27,3546.6
2009-04-28,3432.18
2009-04-29,3531.14
2009-05-04,3697.05
2009-05-05,3724.38
2009-05-06,3684.14
2009-05-07,3754.89
2009-05-08,3707.7
2009-05-11,3645.06
2009-05-12,3746.99
2009-05-13,3711.97
2009-05-14,3695.13
2009-05-15,3758.26
2009-05-18,4367.97
2009-05-19,4388.93
2009-05-20,4432.18
2009-05-21,4413.89
2009-05-22,4450.24
2009-05-25,4512.12
2009-05-26,4390.08
2009-05-27,4565.99
2009-05-28,4626.22
2009-05-29,4748.52
2009-06-01,4847.08
2009-06-02,4830.24
2009-06-03,4850.13
2009-06-04,4920.13
2009-06-05,4923.41
2009-06-08,4727.37
2009-06-09,4858.26
2009-06-10,4955.23
2009-06-11,4927.92
2009-06-12,4867.79
2009-06-15,4774.02
2009-06-16,4834.87
2009-06-17,4655.66
2009-06-18,4534.33
2009-06-19,4596.0
2009-06-22,4529.14
2009-06-23,4545.55
2009-06-24,4607.54
2009-06-25,4562.43
2009-06-26,4680.3
2009-06-29,4725.82
2009-06-30,4612.22
2009-07-01,4657.34
2009-07-02,4689.16
2009-07-03,4744.42
2009-07-06,4488.87
2009-07-07,4500.61
2009-07-08,4384.45
2009-07-09,4399.77
2009-07-10,4318.72
2009-07-13,4258.76
2009-07-14,4412.18
2009-07-15,4575.52
2009-07-16,4584.92
2009-07-17,4717.84
2009-07-20,4836.31
2009-07-21,4799.15
2009-07-22,4748.83
2009-07-23,4857.22
2009-07-24,4915.78
2009-07-27,4940.67
2009-07-28,4964.88
2009-07-29,4911.13
2009-07-30,4959.57
2009-07-31,5017.07
2009-08-03,5097.0
2009-08-04,5073.93
2009-08-05,5102.09
2009-08-06,4989.51
2009-08-07,4884.37
2009-08-10,4833.16
2009-08-11,4863.59
2009-08-12,4854.68
2009-08-13,5011.31
2009-08-14,4999.94
2009-08-17,4808.92
2009-08-18,4889.14
2009-08-19,4810.85
2009-08-20,4870.91
2009-08-21,4938.48
2009-08-24,5043.28
2009-08-25,5063.23
2009-08-26,5098.55
2009-08-27,5113.47
2009-08-28,5157.41
2009-08-31,5125.18
2009-09-01,5076.24
2009-09-02,5058.26
2009-09-03,5053.4
2009-09-04,5124.88
2009-09-07,5240.3
2009-09-08,5247.78
2009-09-09,5242.18
2009-09-10,5238.38
2009-09-11,5229.9
2009-09-14,5223.47
2009-09-15,5309.07
2009-09-16,5370.98
2009-09-17,5376.49
2009-09-18,5406.31
2009-09-22,5438.89
2009-09-23,5384.17
2009-09-24,5401.01
